seed,ep,reward
0,0,-20.0
0,1,10.0
0,2,-30.0
0,3,-20.0
0,4,-20.0
0,5,10.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,-10.0
0,10,-20.0
0,11,-30.0
0,12,0.0
0,13,-20.0
0,14,-30.0
0,15,-30.0
0,16,-10.0
0,17,-20.0
0,18,30.0
0,19,-20.0
0,20,10.0
0,21,0.0
0,22,-30.0
0,23,-10.0
0,24,-20.0
0,25,-20.0
0,26,10.0
0,27,-30.0
0,28,-20.0
0,29,-10.0
0,30,-10.0
0,31,-10.0
0,32,-30.0
0,33,-30.0
0,34,-10.0
0,35,-10.0
0,36,-10.0
0,37,-20.0
0,38,0.0
0,39,30.0
0,40,-10.0
0,41,20.0
0,42,10.0
0,43,0.0
0,44,-40.0
0,45,-30.0
0,46,-20.0
0,47,-30.0
0,48,-30.0
0,49,-20.0
