seed,ep,reward
0,0,-10.0
0,1,0.0
0,2,-10.0
0,3,-20.0
0,4,0.0
0,5,10.0
0,6,-20.0
0,7,50.0
0,8,-30.0
0,9,-20.0
0,10,-40.0
0,11,-30.0
0,12,-10.0
0,13,-10.0
0,14,-10.0
0,15,-10.0
0,16,-30.0
0,17,-30.0
0,18,-10.0
0,19,0.0
0,20,-20.0
0,21,-30.0
0,22,-20.0
0,23,-30.0
0,24,-10.0
0,25,-10.0
0,26,-10.0
0,27,-10.0
0,28,-40.0
0,29,-20.0
0,30,10.0
0,31,0.0
0,32,-30.0
0,33,-30.0
0,34,-20.0
0,35,-20.0
0,36,-20.0
0,37,-20.0
0,38,0.0
0,39,-30.0
0,40,-30.0
0,41,0.0
0,42,-10.0
0,43,-30.0
0,44,20.0
0,45,-30.0
0,46,-30.0
0,47,-20.0
0,48,-20.0
0,49,10.0
1,0,-30.0
1,1,-10.0
1,2,-10.0
1,3,-20.0
1,4,-30.0
1,5,-20.0
1,6,-10.0
1,7,-30.0
1,8,-10.0
1,9,-20.0
1,10,-20.0
1,11,-20.0
1,12,-30.0
1,13,-10.0
1,14,-30.0
1,15,-20.0
1,16,-30.0
1,17,-30.0
1,18,-30.0
1,19,-30.0
1,20,-30.0
1,21,-30.0
1,22,-20.0
1,23,-10.0
1,24,-20.0
1,25,-30.0
1,26,-30.0
1,27,-30.0
1,28,-30.0
1,29,-20.0
1,30,20.0
1,31,0.0
1,32,-20.0
1,33,0.0
1,34,-20.0
1,35,0.0
1,36,-30.0
1,37,-30.0
1,38,-20.0
1,39,-20.0
1,40,-20.0
1,41,-30.0
1,42,10.0
1,43,-30.0
1,44,-30.0
1,45,-30.0
1,46,-20.0
1,47,-20.0
1,48,0.0
1,49,20.0
